CueAnexo,Nombre,Regimen,Latitud,Longitud,Localidad,Departamento,Jurisdiccion
180001600,ESCUELA Nº 23,Publico,-58.8370198,-28.56365751,JUAN DIAZ,BELLA VISTA,Consejo General de Educacion
180001700,ESCUELA Nº 37 CEFERINO NAMUNCURA,Publico,-58.0593849,-29.74231745,SARANDI,CURUZU CUATIA,Consejo General de Educacion
180001800,ESCUELA Nº 346,Publico,-58.01225127,-29.598686,ESTANCIA SAN JUAN,CURUZU CUATIA,Consejo General de Educacion
180001900,ESCUELA Nº 362,Publico,-58.07888439,-30.12518458,MARIA CARAPE,CURUZU CUATIA,Consejo General de Educacion
180002000,ESCUELA Nº 813 FRANCISCO PODESTA,Publico,-58.45832678,-30.19479744,BASUALDO,CURUZU CUATIA,Consejo General de Educacion
180002100,ESCUELA Nº 574 ELOISA BENITEZ DE CASAFUS,Publico,NULL,NULL,COLONIA PAIRIRI,CURUZU CUATIA,Consejo General de Educacion
180002200,ESCUELA Nº 572 CAZADORES CORRENTINOS,Publico,-58.29894201,-29.98142184,CAZADORES CORRENTINO,CURUZU CUATIA,Consejo General de Educacion
180002300,ESCUELA Nº 570 PAGO LARGO,Publico,-58.28109676,-29.9357102,PAGO LARGO,CURUZU CUATIA,Consejo General de Educacion
180002500,ESCUELA Nº 316 EL CHAÑAR,Publico,-58.55994086,-29.80223949,EL CHAÑAR,CURUZU CUATIA,Consejo General de Educacion
180002700,ESCUELA Nº 230 FRAY LUIS BELTRAN,Publico,-57.44518782,-29.81417662,ESPINILLO,CURUZU CUATIA,Consejo General de Educacion
180002800,ESCUELA Nº 220 BENITA G. DE MARTICORENA,Publico,-58.27140083,-30.0690502,EMILIO R.CONI,CURUZU CUATIA,Consejo General de Educacion
180002900,ESCUELA Nº 833,Publico,-58.129454,-29.794026,ESTANCIA LA CAUTIVA,CURUZU CUATIA,Consejo General de Educacion
180003000,ESCUELA Nº 917 PEDRO ARZUAGA,Publico,-58.12057316,-30.3242279,RINCON DE TUNAS,CURUZU CUATIA,Consejo General de Educacion
180003100,ESCUELA Nº 250 JOSE FRANCISCO CANDIA,Publico,-58.04442172,-29.83866155,EL CEIBO,CURUZU CUATIA,Consejo General de Educacion
180003200,ESCUELA Nº 151 DR. NEMECIO CARLOS ESPINOZA,Publico,-58.05450993,-29.9001793,CURUZU CUATIA       ,CURUZU CUATIA,Consejo General de Educacion
180003300,ESCUELA Nº 576,Publico,-58.07816067,-29.75140284,ARROYO MAROTE,CURUZU CUATIA,Consejo General de Educacion
180003400,ESCUELA Nº 744 IRENE ROMERO,Publico,-57.85692458,-27.8220213,EL ZAPALLO,GENERAL PAZ,Consejo General de Educacion
180003500,ESCUELA Nº 63,Publico,-57.92180001,-27.96244,PALMAR GRANDE       ,GENERAL PAZ,Consejo General de Educacion
180003600,ESCUELA Nº 414 PTE. HIPOLITO IRIGOYEN,Publico,-57.89871716,-27.94130648,PALMAR GRANDE       ,GENERAL PAZ,Consejo General de Educacion
180003700,ESCUELA Nº 494 CORONEL ANICETO MONZON,Publico,-57.85867697,-27.91332354,FRONTERA,GENERAL PAZ,Consejo General de Educacion
180003800,ESCUELA Nº 749 GERVASIO BLANCO,Publico,-57.78164559,-27.91224989,COSTA DE SANTA LUCIA,GENERAL PAZ,Consejo General de Educacion
180003900,ESCUELA Nº 490 MARCELINO A.ELIZONDO,Publico,-57.79524182,-27.87215096,TACUARAL,GENERAL PAZ,Consejo General de Educacion
180004000,ESCUELA Nº 848,Publico,-57.93289125,-27.87597069,PUISOYE,GENERAL PAZ,Consejo General de Educacion
180004100,ESCUELA Nº 228,Publico,-57.98994962,-27.94844358,TIMBOY,GENERAL PAZ,Consejo General de Educacion
180004200,ESCUELA Nº 60,Publico,-57.87531321,-27.82105547,EL ZAPALLO,GENERAL PAZ,Consejo General de Educacion
180004300,ESCUELA Nº 492 ROGELIO BLANCO,Publico,-57.91289789,-27.84203258,CERRITO,GENERAL PAZ,Consejo General de Educacion
180004400,ESCUELA Nº 56,Publico,-57.9759976,-27.90473367,FERNANDEZ,GENERAL PAZ,Consejo General de Educacion
180004500,ESCUELA Nº 697,Publico,-57.82697689,-27.75895594,LOMA ALTA,GENERAL PAZ,Consejo General de Educacion
180004600,ESCUELA Nº 488 CARLOS JULIO MAURIÑO,Publico,-57.64664002,-27.76062,CAPILLITA,GENERAL PAZ,Consejo General de Educacion
180004700,ESCUELA Nº 55,Publico,-57.77278002,-27.74281,PASO FLORENTIN,GENERAL PAZ,Consejo General de Educacion
180004800,ESCUELA ESPECIAL Nº 23 JESUS DE LA MISERICORDIA   ,Publico,-57.62155615,-27.74920236,CAA CATI            ,GENERAL PAZ,Consejo General de Educacion
180004900,ESCUELA Nº 567 PASO DE LAS PIEDRAS    ,Publico,-58.04264809,-29.75962578,SARANDI,CURUZU CUATIA,Consejo General de Educacion
180005000,COLEGIO SECUNDARIO JULIA J. LOPEZ DE PEREZ,Publico,-57.33704897,-27.42577246,ITA IBATE           ,GENERAL PAZ,Direccion de Nivel Secundario
180005003,COLEGIO SECUNDARIO JULIA J. LOPEZ DE PEREZ (EXT.AULICA QUE FUNCIONA EN LA ESC.Nº 804),Publico,-57.52568351,-27.66384278,TACUARA CARENDY,GENERAL PAZ,Direccion de Nivel Secundario
180005004,COLEGIO SECUNDARIO JULIA J. LOPEZ DE PEREZ  (EXT.AULICA  DE ADULTOS EN ITA IBATE),Publico,-57.34011722,-27.42508007,ITA IBATE           ,GENERAL PAZ,Direccion de Nivel Secundario
180005100,ESCUELA Nº 568,Publico,-57.96705,-29.665322,VACA CUA,CURUZU CUATIA,Consejo General de Educacion
180005200,ESCUELA PRIMARIA Nº 696 AVELINA SENA DE GOMEZ,Publico,-57.75993711,-27.84396116,TALATY,GENERAL PAZ,Consejo General de Educacion
180005300,ESCUELA PRIMARIA PARA ADOLESCENTES Y ADULTOS Nº 33 GDOR. B. GONZALEZ,Publico,-57.61778121,-27.75099332,NTRA. SRA. DEL ROSARIO DE CAA CATI,GENERAL PAZ,Consejo General de Educacion
180005400,ESCUELA NORMAL ALMIRANTE GUILLERMO BROWN,Publico,-57.6212725,-27.75361822,NUESTRA SEÑORA DEL ROSARIO DE CAA CATI,GENERAL PAZ,Direccion de Nivel Secundario
180005401,EXT.AULICA DE ADULTOS ( ESCUELA NORMAL ALMIRANTE GUILLERMO BROWN),Publico,NULL,NULL,NUESTRA SEÑORA DEL ROSARIO DE CAA CATI,GENERAL PAZ,Direccion de Nivel Secundario
180005500,ESCUELA Nº 51 BALBINO ROMERO,Publico,-58.44084816,-27.83198524,EL POLLO,EMPEDRADO,Consejo General de Educacion
180005600,ESCUELA Nº 49 DON GIL ROMERO,Publico,-58.32976481,-27.92770283,BERNACHEA,EMPEDRADO,Consejo General de Educacion
180005700,COLEGIO DEL SAGRADO CORAZON Y JARDIN DE INF. EL PATITO FEO,Publico,-58.82955003,-27.48098744,CORRIENTES          ,CAPITAL,Consejo General de Educacion
180005701,JARDÍN DE INFANTES EL PATITO FEO IPP-44,Privado Subvencionado,NULL,NULL,NULL,CAPITAL,Direccion de Enseñanza Privada
180005800,ESCUELA Nº 735 JUAN JOSE FERNANDEZ BLANCO,Publico,-58.49702061,-27.50283246,PASO LOVERA,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180005900,ESCUELA Nº 837 JOSE FROILAN PAULINI,Publico,-58.48205407,-27.66950161,TORO PICHAI,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180006100,ESCUELA Nº 120 INTENDENTE MANUEL A. D. CASTRESANA,Publico,-58.46028072,-27.77665721,SAN LUIS DEL PALMAR ,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180006200,ESCUELA Nº 760 SAN LUIS REY DE FRANCIA,Publico,-58.56505246,-27.54400421,ESPINALLAR,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180006300,ESCUELA Nº 858 CAPITAN DE FRAGATA SERGIO RAUL GOMEZ ROCA,Publico,-58.54243553,-27.38186614,ENSENADITA          ,SAN COSME,Consejo General de Educacion
180006400,ESCUELA Nº 251,Publico,-58.66198243,-27.36393314,PASO DE LA PATRIA   ,SAN COSME,Consejo General de Educacion
180006500,ESCUELA Nº 783,Publico,-58.38422,-27.30556,PUERTO GONZALEZ,SAN COSME,Consejo General de Educacion
180006600,COLEGIO SECUNDARIO JOSE OBREGON,Publico,-58.3427929,-29.1074217,FELIPE YOFRE        ,MERCEDES,Direccion de Nivel Secundario
180006601,EXT.AULICA DE ADULTOS (COLEGIO JOSE OBREGON),Publico,-58.34280691,-29.107425,FELIPE YOFRE        ,MERCEDES,Direccion de Nivel Secundario
180006700,COLEGIO SECUNDARIO CARLOS ALBERTO CASTELLAN,Publico,-58.19483399,-29.37580527,MARIANO I. LOZA     ,MERCEDES,Direccion de Nivel Secundario
180006701,EXT.AULICA DE ADULTOS (COLEGIO SEC.CARLOS A. CASTELLAN),Publico,-58.1947298,-29.37600881,MARIANO I. LOZA     ,MERCEDES,Direccion de Nivel Secundario
180006800,ESCUELA Nº 587 ELVIRA CEFERINA SANCHEZ DE MACIEL,Publico,-58.16811253,-28.90635636,ITA CORA,MERCEDES,Consejo General de Educacion
180006900,ESCUELA Nº 923 ANTONIA BARRIOS DE F. ZAMUDIO,Publico,-58.19629412,-28.977125,PAIVARE CHICO,MERCEDES,Consejo General de Educacion
180007100,ESCUELA Nº 580 ISAURA GUADALUPE ROMERO,Publico,-58.00729899,-28.81317673,IBERA PITA,MERCEDES,Consejo General de Educacion
180007200,ESCUELA Nº 584 GENERAL SAN MARTIN,Publico,-57.4814263,-28.64846828,UGUAY,MERCEDES,Consejo General de Educacion
180007300,ESCUELA Nº 773 GRAL. ALVAREZ DE ARENALES,Publico,-57.94810016,-28.78148212,ARROYO GRANDE,MERCEDES,Consejo General de Educacion
180007900,ESCUELA Nº 527 SAN JOSE DE CALASANZ,Publico,-59.30346586,-30.19125194,RINCON DE SARANDI,ESQUINA,Consejo General de Educacion
180008000,ESCUELA Nº 635 SANTA MARIA,Publico,-59.06645515,-29.65109975,ESQUINA             ,ESQUINA,Consejo General de Educacion
180008100,ESCUELA Nº 636 PEDRO GOMEZ,Publico,-59.2183707,-30.3047631,PUESTO LAS CUCHILLAS,ESQUINA,Consejo General de Educacion
180008200,ESCUELA Nº 638 25 DE MAYO,Publico,-59.24968859,-30.14922751,SAN ANTONIO,ESQUINA,Consejo General de Educacion
180008300,ESCUELA Nº 699 JUAN EULOGIO BORDON,Publico,-59.3663268,-30.26042883,CORONEL ABRAHAM SCHWEIZER,ESQUINA,Consejo General de Educacion
180008400,ESCUELA Nº 715 HEROES DE MALVINAS,Publico,-59.1669149,-30.2616409,EL PUEBLITO,ESQUINA,Consejo General de Educacion
180008500,ESCUELA Nº 771 PLÁCIDO MITRE SOLMOIRAGO,Publico,-58.9565861,-29.5657082,CAMPO ROMERO,ESQUINA,Consejo General de Educacion
180008600,ESCUELA Nº 834 AGUSTIN P. JUSTO,Publico,-59.20503898,-30.19010677,MALEZAL,ESQUINA,Consejo General de Educacion
180008700,ESCUELA Nº 912 HIPOLITO SATURNINO BRUNENGO,Publico,-59.3595982,-30.3093277,PASO CEJAS,ESQUINA,Consejo General de Educacion
180008800,ESCUELA Nº 263 ALBA ACOSTA DE POPELKA,Publico,-59.45536057,-30.31109434,LIBERTADOR          ,ESQUINA,Consejo General de Educacion
180008900,ESCUELA Nº 255,Publico,-59.47486343,-30.20803127,LAGUNA ITA,ESQUINA,Consejo General de Educacion
180009000,ESCUELA Nº 660 FACUNDO FERREYRA,Publico,-59.4882613,-30.3259658,GUAYQUIRARO         ,ESQUINA,Consejo General de Educacion
180009100,ESCUELA Nº 659 ANGELA SELANDER DE GONZALEZ FERREIRO,Publico,-59.12003792,-30.20182232,EL ROSARIO,ESQUINA,Consejo General de Educacion
180009200,ESCUELA Nº 641,Publico,-58.9960743,-29.6698377,MALVINAS,ESQUINA,Consejo General de Educacion
180009300,ESCUELA Nº 634 ROBERTO MALVASIO,Publico,-59.40437909,-30.25426557,LA CASUALIDAD,ESQUINA,Consejo General de Educacion
180009400,ESCUELA Nº 633 HECTOR ALBANO BARRIOS   ,Publico,-59.5484967,-30.263446,GUAYQUIRARO         ,ESQUINA,Consejo General de Educacion
180009500,ESCUELA Nº 713 ISLA GRAN MALVINA,Publico,-59.4189627,-30.1997326,CAMPO BORDON,ESQUINA,Consejo General de Educacion
180009600,INSTITUTO ADVENTISTA DE CORRIENTES IP-25 e IS-64,Privado Subvencionado,-58.83132969,-27.47122419,CORRIENTES          ,CAPITAL,Direccion de Enseñanza Privada
180009700,ESCUELA Nº 640,Publico,-59.015677,-29.7071744,MALVINAS,ESQUINA,Consejo General de Educacion
180009800,ESCUELA Nº 466 ANGEL MARTINEZ,Publico,-59.07643418,-29.70224619,MALVINAS SUR,ESQUINA,Consejo General de Educacion
180009900,ESCUELA Nº 465 FRANCISCO BOCALANDRO,Publico,-58.9843858,-29.6302663,MALVINAS,ESQUINA,Consejo General de Educacion
180010000,ESCUELA Nº 284,Publico,-59.0088841,-29.5774705,PASO HU,ESQUINA,Consejo General de Educacion
180010100,ESCUELA PRIMARIA COMUN Nº 283,Publico,-58.7378274,-29.6526366,PICADA AMARA,ESQUINA,Consejo General de Educacion
180010200,ESCUELA Nº 624 PRIMERA JUNTA,Publico,-59.40301414,-29.93573807,CAMPO PERNIZZA,ESQUINA,Consejo General de Educacion
180010300,ESCUELA Nº 628 JOSE MARIA BONAS,Publico,-59.2411091,-29.7846698,BUENA VISTA,ESQUINA,Consejo General de Educacion
180010400,ESCUELA Nº 625,Publico,-59.46766169,-29.93940851,PARAJE TRANQUERA CADENA,ESQUINA,Consejo General de Educacion
180010500,ESCUELA Nº 235 TTE. LUIS CARLOS MARTELLA,Publico,-59.49178,-29.97298,SAN FERNANDO,ESQUINA,Consejo General de Educacion
180010600,ESCUELA Nº 166 DOCENTES CORRENTINOS,Publico,-59.4654021,-29.8981409,ESQUINA             ,ESQUINA,Consejo General de Educacion
180010800,ESCUELA Nº 700 BLANCA JUANA ADA ALMIRON,Publico,-59.53062366,-30.15448962,SANTO DOMINGO,ESQUINA,Consejo General de Educacion
180010900,ESCUELA Nº 622,Publico,-59.4779693,-29.9929251,CHACRAS NORTE,ESQUINA,Consejo General de Educacion
180011000,ESCUELA Nº 260,Publico,-59.362459,-30.10467545,ABRA GUAZU,ESQUINA,Consejo General de Educacion
180011100,ESCUELA Nº 505,Publico,-58.35820732,-27.78969873,EMPEDRADO LIMPIO,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180011200,ESCUELA Nº 845,Publico,-58.12237575,-27.6205474,EL PERICHON,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180011300,ESCUELA Nº 859,Publico,-58.3412811,-27.7113312,LOMAS DE GONZALEZ,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180011400,ESCUELA Nº 162,Publico,-58.15826119,-27.69389192,TACUARAL 5TA SECCION,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180011500,ESCUELA Nº 317,Publico,-58.51460954,-27.69615498,TORO PICHAI,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180011600,ESCUELA Nº 45,Publico,-58.38073047,-27.8524925,EL POLLO,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180011700,INSTITUTO SUPERIOR HUMANISTICO CORRIENTES IS.36/ILT-1,Privado Subvencionado,-58.83164504,-27.46634901,CORRIENTES          ,CAPITAL,Direccion de Enseñanza Privada
180011800,ESCUELA HOGAR PRESIDENTE JUAN DOMINGO PERON,Publico,-58.81871973,-27.47734836,CORRIENTES          ,CAPITAL,Consejo General de Educacion
180011900,ESCUELA Nº 922,Publico,-58.89685803,-28.63622818,ISLA ALTA           ,BELLA VISTA,Consejo General de Educacion
180012000,ESCUELA Nº 36 MISIA ANTOÑITA VAZQUEZ,Publico,-58.08030666,-29.83121996,CURUZU CUATIA       ,CURUZU CUATIA,Consejo General de Educacion
180012100,COLEGIO SECUNDARIO JOSE SILVIO COSTA,Publico,-57.89868931,-27.94129318,PALMAR GRANDE       ,GENERAL PAZ,Direccion de Nivel Secundario
180012101,ANEXO COLEGIO SECUNDARIO JOSE SILVIO COSTA (ESC.56 RURAL),Publico,-57.97609899,-27.90456441,FERNANDEZ,GENERAL PAZ,Direccion de Nivel Secundario
180012102,ANEXO COLEGIO SECUNDARIO JOSE SILVIO COSTA (ESC.613 RURAL),Publico,-57.97276433,-27.98446642,PUNTA GRANDE,GENERAL PAZ,Direccion de Nivel Secundario
180012103,EXT.AULICA COLEGIO SECUNDARIO JOSE SILVIO COSTA (ESC.490),Publico,NULL,NULL,TACUARAL,GENERAL PAZ,Direccion de Nivel Secundario
180012200,ESCUELA Nº 61,Publico,-57.68564326,-27.77189027,CAPILLITA,GENERAL PAZ,Consejo General de Educacion
180012300,ESCUELA Nº 54 CONRADO ROMERO,Publico,-57.61714038,-27.7500593,NTRA. SRA. DEL ROSARIO DE CAA CATI,GENERAL PAZ,Consejo General de Educacion
180012400,ESCUELA NORMAL DR. FERNANDO PIRAGINE NIVEIRO,Publico,-58.80750098,-27.95248254,EMPEDRADO           ,EMPEDRADO,Direccion de Nivel Secundario
180012401,EXT.AU. ESC. NORMAL DR. FERNANDO PIRAGINE NIVEIRO (ESC.268 RURAL),Publico,-58.82373638,-28.12917511,EMPEDRADO           ,EMPEDRADO,Direccion de Nivel Secundario
180012500,INSTITUTO PRIVADO MONSEÑOR RAMON ROUBINEAU I-32,Privado No Subvencionado,-58.83034783,-27.48094672,CORRIENTES          ,CAPITAL,Direccion de Enseñanza Privada
180012600,ESCUELA Nº 404 DR. EDUARDO WILDE ,Publico,-58.82500715,-27.49219645,CORRIENTES          ,CAPITAL,Consejo General de Educacion
180012700,ESCUELA Nº 34 EL SANTO DE LA ESPADA,Publico,-58.82672038,-27.49885655,CORRIENTES          ,CAPITAL,Consejo General de Educacion
180012800,ESCUELA Nº 109 ARMADA ARGENTINA,Publico,-58.53087522,-27.50295648,SAN LUIS DEL PALMAR ,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180012900,ESCUELA Nº 784,Publico,-58.59989922,-27.58334349,ARROYO PONTON       ,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180013000,ESCUELA Nº 835,Publico,-58.55706898,-27.70129823,ESTACION KILOMETRO 512,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180013100,ESCUELA Nº 738 EJERCITO ARGENTINO,Publico,-58.49419102,-27.53128983,MEDIO,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180013300,ESCUELA Nº 423 SUPERVISORA ADELA CANO DE LOTERO,Publico,-58.57765219,-27.3175361,PASO DE LA PATRIA   ,SAN COSME,Consejo General de Educacion
180013400,ESCUELA NORMAL SECUNDARIA PROF. RAMON M. GOMEZ,Publico,-58.51098502,-27.37120619,SAN COSME           ,SAN COSME,Direccion de Educación Tecnico Profesional
180013500,ESCUELA Nº 102 NICOLAS GALLARDO,Publico,-58.50992547,-27.37060141,SAN COSME           ,SAN COSME,Consejo General de Educacion
180013600,ESCUELA PRIMARIA PARA ADOLESCENTES Y ADULTOS Nº 32,Publico,-58.19813526,-29.37579757,MARIANO I. LOZA     ,MERCEDES,Consejo General de Educacion
180013700,ESCUELA Nº 408 RIO NEGRO,Publico,-58.34265374,-29.10514201,FELIPE YOFRE        ,MERCEDES,Consejo General de Educacion
180013800,ESCUELA Nº 727 GENERAL JUAN MADARIAGA,Publico,-58.0826874,-28.7884658,TACUARAL,MERCEDES,Consejo General de Educacion
180013900,ESCUELA Nº 353 DR. FELIX MARIA GOMEZ,Publico,-58.83162047,-27.48985873,CORRIENTES          ,CAPITAL,Consejo General de Educacion
180014000,ESCUELA TECNICA JUANA MANSO     ,Publico,-58.82690707,-27.48325405,CORRIENTES          ,CAPITAL,Direccion de Educación Tecnico Profesional
180014100,COLEGIO SECUNDARIO PARA ADOLESCENTES Y ADULTOS DALMA LEMOS DE MANCINI,Publico,-59.52267636,-30.01143069,ESQUINA             ,ESQUINA,Direccion de Nivel Secundario
180014200,ESCUELA TECNICA DR. JUAN RAMON VIDAL    ,Publico,-59.52286948,-30.0120705,ESQUINA             ,ESQUINA,Direccion de Educación Tecnico Profesional
180014300,ESCUELA Nº 279 JUAN XXIII,Publico,-59.5223321,-30.00945686,ESQUINA             ,ESQUINA,Consejo General de Educacion
180014400,ESCUELA PRIMARIA PARA ADOLESCENTES Y ADULTOS Nº 10 GDOR. J. FILOMENO VELAZCO,Publico,-59.52874779,-30.01077292,ESQUINA             ,ESQUINA,Consejo General de Educacion
180014600,ESCUELA PARA ADOLESCENTES Y ADULTOS Nº 53 MARIA CHALUB,Publico,-59.25931774,-29.14824172,GOYA                ,GOYA,Consejo General de Educacion
180014700,COLEGIO DIVINO SALVADOR IP-19,Privado Subvencionado,-59.52691943,-30.01461601,ESQUINA             ,ESQUINA,Direccion de Enseñanza Privada
180014800,ESCUELA NORMAL JOSE A. FERREIRA,Publico,-59.52929329,-30.01522228,ESQUINA             ,ESQUINA,Direccion de Nivel Secundario
180014801,ANEXO ESC. NOR. DR. JOSE ALFREDO FERREIRA (ESC.53),Publico,-59.51484752,-30.01555576,ESQUINA             ,ESQUINA,Direccion de Nivel Secundario
180014805,ANEXO ESC. NOR. DR. JOSE ALFREDO FERREIRA (ESC.434  RURAL),Publico,NULL,NULL,SAN FERNANDO,ESQUINA,Direccion de Nivel Secundario
180014900,ESCUELA Nº 257,Publico,-58.8494691,-29.631337,ESQUINA             ,ESQUINA,Consejo General de Educacion
180015000,ESCUELA Nº 627 REINALDO GREGORIO MARIN,Publico,-59.4572865,-29.8682494,EL CARMEN,ESQUINA,Consejo General de Educacion
180015100,ESCUELA Nº 632 JULIA MILESSI DE BAEZ,Publico,-59.4806088,-30.02285,SANTA LIBRADA,ESQUINA,Consejo General de Educacion
180015200,ESCUELA Nº 630 ARMADA ARGENTINA CAPITAN DE NAVIO DON RAUL F. TORRENT,Publico,-59.5316816,-30.11329065,INGA,ESQUINA,Consejo General de Educacion
180015300,ESCUELA Nº 434 PROF. ANTONIO FLEITAS,Publico,-59.51564749,-30.00080779,SAN FERNANDO,ESQUINA,Consejo General de Educacion
180015400,ESCUELA Nº 779 BOMBEROS VOLUNTARIOS,Publico,-59.00082206,-28.46999292,LOMAS NORTE,BELLA VISTA,Consejo General de Educacion
180015500,ESCUELA Nº 188,Publico,-57.89266312,-29.7924635,LA CAÑADA,CURUZU CUATIA,Consejo General de Educacion
180015600,ESCUELA Nº 343 MARIA CHICA,Publico,-58.3040781,-29.50963605,MARIA CHICA,CURUZU CUATIA,Consejo General de Educacion
180015800,ESCUELA Nº 302 MALVINAS ARGENTINAS,Publico,-58.18632319,-29.48279389,CURUZU CUATIA       ,CURUZU CUATIA,Consejo General de Educacion
180016000,ESCUELA Nº 40,Publico,-58.37813235,-29.35106524,PERUGORRIA          ,CURUZU CUATIA,Consejo General de Educacion
180016100,ESCUELA Nº 864,Publico,-58.17674549,-30.21210127,ARROYO PORTILLO,CURUZU CUATIA,Consejo General de Educacion
180016200,ESCUELA Nº 112,Publico,-58.57658181,-27.58755139,ARROYO PONTON       ,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180016300,ESCUELA Nº 175,Publico,-58.51279305,-27.60010179,SAN LUIS DEL PALMAR ,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180016400,ESCUELA Nº 113 SIMON FIDEL BUSTINDUY,Publico,-58.62989,-27.52803,SAN LUIS DEL PALMAR ,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180016500,ESCUELA Nº 108 JUAN ALBERTO VERON,Publico,-58.53184612,-27.53741947,SAN LUIS DEL PALMAR ,SAN LUIS DEL PALMAR ,Consejo General de Educacion
180016600,ESCUELA Nº 710,Publico,-58.43245145,-27.30382478,PUERTO ARAZA,SAN COSME,Consejo General de Educacion
180016700,ESCUELA NORMAL 1ER. TTE.  DE LA F.A.A. MIGUEL A. GIMENEZ    ,Publico,-58.51339972,-27.36995788,PASO DE LA PATRIA   ,SAN COSME,Direccion de Nivel Secundario
180016702,EXT.AULICA ESCUELA NORMAL SUP.¨MIGUEL A. GIMENEZ (ESC.Nº 853 RURAL)   ,Publico,-58.61826191,-27.39842434,ENSENADITA          ,SAN COSME,Direccion de Nivel Secundario
180016703,EXT.AULICA ESCUELA NORMAL SUP.¨MIGUEL A. GIMENEZ (ESC.Nº 827 RURAL)   ,Publico,-58.55195227,-27.30647513,PASO DE LA PATRIA   ,SAN COSME,Direccion de Nivel Secundario
180016704,EXT.AULICA DE ADULTOS  ESCUELA NORMAL SUP.¨MIGUEL A. GIMENEZ   ,Publico,-58.57007535,-27.31531131,PASO DE LA PATRIA   ,SAN COSME,Direccion de Nivel Secundario
180016800,ESCUELA Nº 827 MARCOS VICENTE FORASTIER,Publico,-58.55188679,-27.30641789,PASO DE LA PATRIA   ,SAN COSME,Consejo General de Educacion
180016900,ESCUELA Nº 337 PREFECTURA NAVAL ARGENTINA,Publico,-58.66202,-27.36402,PASO DE LA PATRIA   ,SAN COSME,Consejo General de Educacion
180017000,ESCUELA Nº 87 JOSE DANIEL BIANCHI,Publico,-58.19799508,-29.37533276,MARIANO I. LOZA     ,MERCEDES,Consejo General de Educacion
180017100,ESCUELA Nº 407 PROVINCIA DE JUJUY,Publico,-58.19461235,-29.37823974,MARIANO I. LOZA     ,MERCEDES,Consejo General de Educacion
180017200,ESCUELA Nº 199 CARLOS ALBERTO CASTELLAN,Publico,-58.22536622,-28.89663606,TIMBOCITO,MERCEDES,Consejo General de Educacion
